tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
GT,25101020,251010,2510,25,326211,3262,32,3011,301,30
GRC,20106020,201060,2010,20,333914,3339,33,3561,356,35
GRA,15101050,151010,1510,15,325998,3259,32,2810,281,28
GGG,20106020,201060,2010,20,333914,3339,33,3561,356,35
GHM,20106020,201060,2010,20,333415,3334,33,3443,344,34
GWW,20107010,201070,2010,20,42,42,42,5000,500,50
GTN,50201020,502010,5020,50,515120,5151,51,4833,483,48
GEF,15103010,151030,1510,15,322219,3222,32,2650,265,26
HAL,10101020,101010,1010,10,213112,2131,21,1389,138,13
LHX,20101010,201010,2010,20,334511,3345,33,3812,381,38
HSC,20201050,202010,2020,20,331110,3311,33,3390,339,33
HAS,25202010,252020,2520,25,339930,3399,33,3944,394,39
AMOT,20104010,201040,2010,20,335312,3353,33,3621,362,36
HVT,25504060,255040,2550,25,442110,4421,44,5712,571,57
HE,55101010,551010,5510,55,22111,2211,22,4911,491,49
HWKN,15101010,151010,1510,15,424690,4246,42,5160,516,51
HCSG,20201070,202010,2020,20,561720,5617,56,7340,734,73
WELL,60101050,601010,6010,60,531110,5311,53,6798,679,67
STRL,20103010,201030,2010,20,237310,2373,23,1600,160,16
HL,15104045,151040,1510,15,212221,2122,21,1040,104,10
HEI,20101010,201010,2010,20,336412,3364,33,3724,372,37
KHC,30202030,302020,3020,30,31142,3114,31,2030,203,20
HELE,25201040,252010,2520,25,335210,3352,33,3634,363,36
HP,10101010,101010,1010,10,213111,2131,21,1381,138,13
HSY,30202030,302020,3020,30,3113,3113,31,2060,206,20
HPQ,45202030,452020,4520,45,33411,3341,33,3570,357,35
HXL,20101010,201010,2010,20,325211,3252,32,2821,282,28
HRC,35101010,351010,3510,35,339113,3391,33,2590,259,25
HLT,25301020,253010,2530,25,721110,7211,72,7011,701,70
HFC,10102030,101020,1010,10,324110,3241,32,2911,291,29
HD,25504030,255040,2550,25,444110,4441,44,5211,521,52
HNI,20201060,202010,2020,20,337214,3372,33,2522,252,25
HRL,30202030,302020,3020,30,311611,3116,31,2011,201,20
CNP,55103010,551030,5510,55,22111,2211,22,4931,493,49
UBA,60101070,601010,6010,60,531120,5311,53,6798,679,67
HUBB,20104010,201040,2010,20,335931,3359,33,3640,364,36
JBHT,20304020,203040,2030,20,484121,4841,48,4213,421,42
HBAN,40101015,401010,4010,40,522110,5221,52,6020,602,60
HURC,20106020,201060,2010,20,334513,3345,33,3823,382,38
BVH,25301020,253010,2530,25,721110,7211,72,6035,603,60
ITT,20106020,201060,2010,20,333914,3339,33,3561,356,35
RYN,60101080,601010,6010,60,531190,5311,53,6798,679,67
IDA,55101010,551010,5510,55,22111,2211,22,4911,491,49
ITW,20106020,201060,2010,20,33399,3339,33,3560,356,35
TT,20102010,201020,2010,20,333415,3334,33,3585,358,35
RYI,15104050,151040,1510,15,423510,4235,42,5051,505,50
GFF,20102010,201020,2010,20,332216,3322,33,3420,342,34
INTC,45301020,453010,4530,45,334413,3344,33,3674,367,36
INS,45103010,451030,4510,45,511210,5112,51,7372,737,73
TILE,20201060,202010,2020,20,314110,3141,31,2273,227,22
IBM,45102010,451020,4510,45,519130,5191,51,7370,737,73
IFF,15101050,151010,1510,15,325199,3251,32,2860,286,28
NAV,20106010,201060,2010,20,336120,3361,33,3711,371,37
IDCC,45103010,451030,4510,45,533110,5331,53,6794,679,67
IP,15103020,151030,1510,15,322130,3221,32,2631,263,26
IPG,50201010,502010,5020,50,541810,5418,54,7311,731,73
IVC,35101010,351010,3510,35,339113,3391,33,3842,384,38
J,20202020,202020,2020,20,54151,5415,54,1600,160,16
EME,20103010,201030,2010,20,238210,2382,23,1731,173,17
JNJ,35202010,352020,3520,35,325412,3254,32,2834,283,28
JCI,20102010,201020,2010,20,333415,3334,33,3585,358,35
KLAC,45301010,453010,4530,45,333314,3333,33,3827,382,38
KMI,10102040,101020,1010,10,486210,4862,48,4923,492,49
KAMN,20101010,201010,2010,20,3364,3364,33,3720,372,37
KSU,20304010,203040,2030,20,482111,4821,48,4011,401,40
EVRG,55101010,551010,5510,55,22111,2211,22,4931,493,49
K,30202030,302020,3020,30,311230,3112,31,2040,204,20
KELYA,20202010,202020,2020,20,561320,5613,56,7363,736,73
KMT,20106020,201060,2010,20,333517,3335,33,3540,354,35
KBAL,20201060,202010,2020,20,337211,3372,33,2520,252,25
KMB,30301010,303010,3030,30,322121,3221,32,2621,262,26
KEX,20303010,203030,2030,20,483211,4832,48,4400,440,44
KR,30101030,301010,3010,30,445110,4451,44,5411,541,54
LYTS,20104010,201040,2010,20,335122,3351,33,3640,364,36
LZB,25201020,252010,2520,25,337121,3371,33,2510,251,25
SR,55102010,551020,5510,55,221210,2212,22,4924,492,49
LRCX,45301010,453010,4530,45,333242,3332,33,3559,355,35
LANC,30202030,302020,3020,30,311941,3119,31,2030,203,20
LAWS,20107010,201070,2010,20,423710,4237,42,5072,507,50
LEG,25201020,252010,2520,25,337910,3379,33,2510,251,25
LEN,25201030,252010,2520,25,236117,2361,23,1531,153,15
JEF,40203020,402030,4020,40,523110,5231,52,6211,621,62
LLY,35202010,352020,3520,35,325412,3254,32,2834,283,28
LB,25504010,255040,2550,25,448190,4481,44,5600,560,56
LECO,20106020,201060,2010,20,333992,3339,33,3540,354,35
LNC,40301020,403010,4030,40,524113,5241,52,6311,631,63
LMT,20101010,201010,2010,20,336414,3364,33,3760,376,37
L,40301040,403010,4030,40,524126,5241,52,6331,633,63
RRC,10102020,101020,1010,10,2111,2111,21,1311,131,13
LPX,15105010,151050,1510,15,321219,3212,32,2400,240,24
LOW,25504030,255040,2550,25,444110,4441,44,5211,521,52
LDL,20106020,201060,2010,20,336390,3363,33,3714,371,37
MDC,25201030,252010,2520,25,236117,2361,23,1531,153,15
MDU,55103010,551030,5510,55,221210,2212,22,4932,493,49
MGEE,55101010,551010,5510,55,22111,2211,22,4931,493,49
MTW,20106010,201060,2010,20,333923,3339,33,3530,353,35
MRO,10102020,101020,1010,10,2111,2111,21,1311,131,13
MCS,50202010,502020,5020,50,512131,5121,51,7830,783,78
HST,60101030,601010,6010,60,531120,5311,53,6798,679,67
MMC,40301010,403010,4030,40,524210,5242,52,6411,641,64
MAS,20102010,201020,2010,20,332913,3329,33,3430,343,34
MAT,25202010,252020,2520,25,339930,3399,33,3942,394,39
MLP,60102030,601020,6010,60,237210,2372,23,6552,655,65
MKC,30202030,302020,3020,30,311942,3119,31,2090,209,20
MCD,25301040,253010,2530,25,722513,7225,72,5812,581,58
MGRC,20107010,201070,2010,20,532420,5324,53,7359,735,73
SPGI,40203040,402030,4020,40,561450,5614,56,7323,732,73
MCK,35102010,351020,3510,35,424210,4242,42,5122,512,51
GENC,20106020,201060,2010,20,333994,3339,33,3567,356,35
MDT,35101010,351010,3510,35,334510,3345,33,3845,384,38
CVS,35102015,351020,3510,35,446110,4461,44,5912,591,59
MRK,35202010,352020,3520,35,325412,3254,32,2834,283,28
MDP,50201040,502010,5020,50,511120,5111,51,2721,272,27
MLAB,35101010,351010,3510,35,334513,3345,33,3823,382,38
