gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,revt,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
005709,20211031,2021,INDL,C,D,STD,HRL,HORMEL FOODS CORP,USD,11386.1890,0000048465,A,3020,302020,30,30202030,311611,2011
005742,20211231,2021,INDL,C,D,STD,CNP,CENTERPOINT ENERGY INC,USD,8352.0000,0001130310,A,5510,551030,55,55103010,22111,4931
005750,20211031,2021,INDL,C,D,STD,HOV,HOVNANIAN ENTRPRS INC  -CL A,USD,2782.8570,0000357294,A,2520,252010,25,25201030,236117,1531
005783,20211231,2021,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,12168.3020,0000728535,A,2030,203040,20,20304020,484121,4213
005788,20211031,2021,INDL,C,D,STD,HURC,HURCO COS INC,USD,235.1950,0000315374,A,2010,201060,20,20106020,334513,3823
005860,20211231,2021,INDL,C,D,STD,ITT,ITT INC,USD,2765.0000,0000216228,A,2010,201060,20,20106020,333914,3561
005870,20211231,2021,INDL,C,D,STD,IDA,IDACORP INC,USD,1458.0840,0001057877,A,5510,551010,55,55101010,22111,4911
005878,20211231,2021,INDL,C,D,STD,ITW,ILLINOIS TOOL WORKS,USD,14455.0000,0000049826,A,2010,201060,20,20106020,33399,3560
005959,20211231,2021,INDL,C,D,STD,TT,TRANE TECHNOLOGIES PLC,USD,14136.4000,0001466258,A,2010,201020,20,20102010,333415,3585
005968,20211231,2021,INDL,C,D,STD,RYI,RYERSON HOLDING CORP,USD,5675.3000,0001481582,A,1510,151040,15,15104050,423510,5051
005987,20210930,2021,INDL,C,D,STD,GFF,GRIFFON CORP,USD,2270.6260,0000050725,A,2010,201020,20,20102010,332216,3420
006034,20211231,2021,INDL,C,D,STD,TILE,INTERFACE INC,USD,1200.3980,0000715787,A,2020,202010,20,20201060,314110,2273
006100,20211231,2021,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,425.4090,0001405495,A,4510,451030,45,45103010,533110,6794
006104,20211231,2021,INDL,C,D,STD,IP,INTL PAPER CO,USD,19363.0000,0000051434,A,1510,151030,15,15103020,322130,2631
006136,20211231,2021,INDL,C,D,STD,IPG,INTERPUBLIC GROUP OF COS,USD,10240.7000,0000051644,A,5020,502010,50,50201010,541810,7311
006216,20210930,2021,INDL,C,D,STD,J,JACOBS ENGINEERING GROUP INC,USD,14092.6320,0000052988,A,2020,202020,20,20202020,54151,7370
006266,20211231,2021,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,93775.0000,0000200406,A,3520,352020,35,35202010,325412,2834
006338,20211231,2021,INDL,C,D,STD,EVRG,EVERGY INC,USD,5586.7000,0001711269,A,5510,551010,55,55101010,22111,4931
006375,20211231,2021,INDL,C,D,STD,K,KELLOGG CO,USD,14181.0000,0000055067,A,3020,302020,30,30202030,311230,2040
006379,20211231,2021,INDL,C,D,STD,KELYA,KELLY SERVICES INC  -CL A,USD,4909.7000,0000055135,A,2020,202020,20,20202010,561320,7363
006435,20211231,2021,INDL,C,D,STD,KMB,KIMBERLY-CLARK CORP,USD,19440.0000,0000055785,A,3030,303010,30,30301010,322121,2621
006509,20210930,2021,INDL,C,D,STD,KLIC,KULICKE & SOFFA INDUSTRIES,USD,1517.6640,0000056978,A,4530,453010,45,45301010,333242,3559
006528,20211231,2021,INDL,C,D,STD,LXU,LSB INDUSTRIES INC,USD,556.2390,0000060714,A,1510,151010,15,15101020,325180,2810
006543,20210430,2020,INDL,C,D,STD,LZB,LA-Z-BOY INC,USD,1734.2440,0000057131,A,2520,252010,25,25201020,337121,2510
006547,20210930,2021,INDL,C,D,STD,SR,SPIRE INC,USD,2235.5000,0001126956,A,5510,551020,55,55102010,221210,4924
006565,20210630,2021,INDL,C,D,STD,LRCX,LAM RESEARCH CORP,USD,14626.1500,0000707549,A,4530,453010,45,45301010,333242,3559
006573,20210630,2021,INDL,C,D,STD,LANC,LANCASTER COLONY CORP,USD,1467.0670,0000057515,A,3020,302020,30,30202030,311941,2030
006669,20211130,2021,INDL,C,D,STD,LEN,LENNAR CORP,USD,27130.6760,0000920760,A,2520,252010,25,25201030,236117,1531
006682,20211130,2021,FS,C,D,STD,JEF,JEFFERIES FINANCIAL GRP INC,USD,8945.4640,0000096223,A,4020,402030,40,40203020,523110,6211
006682,20211130,2021,INDL,C,D,STD,JEF,JEFFERIES FINANCIAL GRP INC,USD,9039.8830,0000096223,A,4020,402030,40,40203020,523110,6211
006730,20211231,2021,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,28318.4000,0000059478,A,3520,352020,35,35202010,325412,2834
006737,20211231,2021,INDL,C,D,STD,LECO,LINCOLN ELECTRIC HLDGS INC,USD,3234.1800,0000059527,A,2010,201060,20,20106020,333992,3540
006774,20211231,2021,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,67044.0000,0000936468,A,2010,201010,20,20101010,336414,3760
006781,20211231,2021,FS,C,D,STD,L,LOEWS CORP,USD,14176.0000,0000060086,A,4030,403010,40,40301040,524126,6331
006781,20211231,2021,INDL,C,D,STD,L,LOEWS CORP,USD,13688.0000,0000060086,A,4030,403010,40,40301040,524126,6331
006821,20211231,2021,INDL,C,D,STD,LPX,LOUISIANA-PACIFIC CORP,USD,4553.0000,0000060519,A,1510,151050,15,15105010,321219,2400
006831,20210831,2021,INDL,C,D,STD,LUB,LUBYS INC,USD,,0000016099,A,2530,253010,25,25301040,722514,5812
006865,20211231,2021,INDL,C,D,STD,MDC,MDC HOLDINGS INC,USD,5254.6680,0000773141,A,2520,252010,25,25201030,236117,1531
006994,20211231,2021,INDL,C,D,STD,MTW,MANITOWOC CO,USD,1720.2000,0000061986,A,2010,201060,20,20106010,333923,3530
007065,20211231,2021,INDL,C,D,STD,MMC,MARSH & MCLENNAN COS,USD,19820.0000,0000062709,A,4030,403010,40,40301010,524210,6411
007085,20211231,2021,INDL,C,D,STD,MAS,MASCO CORP,USD,8375.0000,0000062996,A,2010,201020,20,20102010,332913,3430
007116,20211231,2021,INDL,C,D,STD,MAT,MATTEL INC,USD,5457.7000,0000063276,A,2520,252020,25,25202010,339930,3942
007146,20211130,2021,INDL,C,D,STD,MKC,MCCORMICK & CO INC,USD,6317.9000,0000063754,A,3020,302020,30,30202030,311942,2090
007163,20211231,2021,INDL,C,D,STD,SPGI,S&P GLOBAL INC,USD,8297.0000,0000064040,A,4020,402030,40,40203040,561450,7323
007171,20210331,2020,INDL,C,D,STD,MCK,MCKESSON CORP,USD,238228.0000,0000927653,A,3510,351020,35,35102010,424210,5122
007228,20210430,2020,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,30117.0000,0001613103,A,3510,351010,35,35101010,334510,3845
007275,20210331,2020,INDL,C,D,STD,MLAB,MESA LABORATORIES INC,USD,133.9370,0000724004,A,3510,351010,35,35101010,334513,3823
007291,20210430,2020,INDL,C,D,STD,MEI,METHODE ELECTRONICS INC,USD,1088.0000,0000065270,A,4520,452030,45,45203020,334417,3678
007295,20210630,2021,INDL,C,D,STD,EVI,EVI INDUSTRIES INC,USD,242.0050,0000065312,A,2010,201070,20,20107010,423850,5080
007343,20210831,2021,INDL,C,D,STD,MU,MICRON TECHNOLOGY INC,USD,27705.0000,0000723125,A,4530,453010,45,45301020,334413,3674
007401,20210531,2020,INDL,C,D,STD,MLKN,MILLERKNOLL INC,USD,2465.1000,0000066382,A,2020,202010,20,20201060,3372,2520
007420,20211231,2021,INDL,C,D,STD,MSA,MSA SAFETY INC,USD,1400.1820,0000066570,A,2020,202010,20,20201060,339113,3842
007435,20211231,2021,INDL,C,D,STD,MMM,3M CO,USD,35355.0000,0000066740,A,2010,201050,20,20105010,322220,2670
007437,20211231,2021,INDL,C,D,STD,ALE,ALLETE INC,USD,1419.2000,0000066756,A,5510,551010,55,55101010,221111,4931
007486,20210331,2020,INDL,C,D,STD,MOD,MODINE MANUFACTURING CO,USD,1808.4000,0000067347,A,2510,251010,25,25101010,336390,3714
007526,20211231,2021,INDL,C,D,STD,QDEL,QUIDEL CORP,USD,1698.5510,0000353569,A,3510,351010,35,35101020,325413,2835
007647,20211231,2021,FS,C,D,STD,BAC,BANK OF AMERICA CORP,USD,93851.0000,0000070858,A,4010,401010,40,40101010,522110,6020
007647,20211231,2021,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,93851.0000,0000070858,A,4010,401010,40,40101010,522110,6020
